dummy,creek sample,creek name,geo type,Mahonia trifoliolata,Juniperus ashei,Phyllostachys aurea,Salix nigra,Condalia hookeri,Croton fruticulosus,Cephalanthus occidentalis,Frangula caroliniana,Ulmus crassifolia,Melia azedarach,Pistacia chinensis,Triadica sebifera,Condalia viridis,Populus deltoides,Forestiera angustifolia,Styphnolobium affine,Sideroxylon lanuginosum,Celtis laevigata,Colubrina texensis,Prosopis glandulosa,Ptelea trifoliata,Vachellia farnesiana,Ligustrum japonicum,Quercus virginiana,Ungnadia speciosa,Mimosa borealis,Maclura pomifera,Carya illinoinensis,Ilex decidua,Baccharis neglecta,Rhus lanceolata,Sesbania drummondii,Sapindus saponaria var. drummondii,Bernardia myricifolia,Quercus buckleyi,Juglans microcarpa,Eysenhardtia texana,Sophora secundiflora,Diospyros texana,Fraxinus velutina,Aloysia gratissima
1,MC.1,Maverick,Active Channel,0,0.136362137,0,0,0,0,0,0,0.191115596,0,0,0,0.025770022,0,0.036444314,0,0,0.131401843,0,0,0.025770022,0.025770022,0,0.109332942,0.036444314,0,0,0,0,0,0,0,0.089269974,0,0,0.044634987,0.025770022,0.085469493,0.036444314,0,0
2,MC.2,Maverick,Island-midbar/island,0,0.343349177,0,0,0,0,0,0,0.343349177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183527855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129773791,0,0,0
3,MC.3,Maverick,Secondary Active Channel,0,0.161138315,0,0,0,0,0,0,0.308556383,0,0,0,0,0,0.161138315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161138315,0.208028671,0,0
4,MC.4,Maverick,Active Channel Shelf,0.041762227,0.150575849,0,0,0,0.029530354,0,0,0.174703928,0,0,0,0.041762227,0,0.072334298,0,0.029530354,0.088591061,0,0,0.041762227,0,0,0.051148073,0,0,0,0,0.029530354,0,0,0,0,0,0,0,0.051148073,0.072334298,0.12528668,0,0
5,MC.5,Maverick,Floodplain,0,0.157709066,0,0,0.056957822,0,0,0,0.194547998,0,0,0,0,0,0.046505867,0,0.046505867,0.1395176,0,0,0,0,0,0.065769227,0,0,0,0.056957822,0.032884614,0,0,0,0,0,0,0,0,0.103990279,0.098653841,0,0
6,MC.6,Maverick,Riparian Terrace,0.021194352,0.155746047,0,0,0,0.021194352,0,0,0.185979688,0,0.036709695,0,0.021194352,0,0.036709695,0.021194352,0.021194352,0.094784025,0,0.036709695,0.029973341,0,0,0.09238404,0.021194352,0,0,0,0,0,0,0,0,0,0,0,0,0.082085374,0.121752285,0,0
7,SC.1,Salado,Active Channel,0,0.244846717,0,0,0,0,0,0,0.322537958,0,0,0,0,0,0,0,0,0.083981731,0,0,0,0,0,0.178152155,0,0,0,0,0,0,0,0,0,0,0.111097388,0,0,0,0.059384052,0,0
8,SC.2,Salado,Island-midbar/island,0,0.371294739,0,0,0,0,0,0,0.404609062,0,0,0,0,0,0,0,0,0.092823685,0,0,0,0,0,0.131272514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,SC.3,Salado,Secondary Active Channel,0,0.297446226,0,0,0,0,0,0,0.309591848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271530013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121431913,0,0
10,SC.4,Salado,Active Channel Shelf,0,0.129373253,0,0,0,0,0,0,0.417216203,0,0,0,0,0,0,0,0,0.081822829,0,0,0,0,0,0.271375624,0,0,0,0,0,0,0,0,0,0,0.100212091,0,0,0,0,0,0
11,SC.5,Salado,Floodplain,0,0.158229112,0,0,0,0,0,0,0.324273184,0,0,0,0,0,0,0,0,0.100072877,0,0,0,0,0,0.346662616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07076221,0,0
12,SC.6,Salado,Riparian Terrace,0.017784858,0.183537665,0,0,0,0.035569716,0,0,0.146657695,0,0.033272422,0,0,0,0.017784858,0,0,0.09494516,0,0.017784858,0,0,0,0.199634534,0,0,0.043563827,0,0.035569716,0,0,0,0.028120329,0,0.025151587,0,0,0,0.120622775,0,0
13,LCT.1,Leon Creek Trib,Active Channel,0,0.368850562,0,0,0,0,0,0,0.130408367,0,0,0,0,0,0,0,0,0.054384048,0,0,0,0,0,0.283893067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047097967,0.115365988,0,0
14,LCT.2,Leon Creek Trib,Island-midbar/island,0,0.416444209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366074896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217480895,0,0
15,LCT.3,Leon Creek Trib,Active Channel Shelf,0,0.504043633,0,0,0,0,0,0,0.091019584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278069423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052550181,0.074317179,0,0
16,LCT.4,Leon Creek Trib,Floodplain,0.085105438,0.458306808,0,0,0,0,0,0,0.104232448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248122857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104232448,0,0
17,LCT.5,Leon Creek Trib,Riparian Terrace,0.120323714,0.340326857,0,0,0,0,0,0,0.120323714,0,0,0,0,0,0.045478089,0,0,0,0,0,0,0,0,0.203384198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170163428,0,0
18,FC.1,French,Active Channel,0,0,0,0,0,0,0,0,0.199809394,0,0,0,0,0,0,0,0.079396202,0.23373609,0,0,0,0,0,0.330552749,0,0,0,0,0,0.045839419,0,0.064826728,0,0,0,0,0,0,0.045839419,0,0
19,FC.2,French,Island-midbar/island,0,0,0,0,0,0,0,0,0.436491673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563508327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,FC.3,French,Secondary Active Channel,0,0.122384997,0,0,0,0,0,0,0.273661173,0,0,0,0,0,0,0,0,0.223443412,0,0,0,0,0,0.380510419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,FC.4,French,Active Channel Shelf,0,0.071551192,0,0,0,0,0,0,0.267720047,0,0,0,0,0,0,0,0,0.20860578,0,0.087631956,0,0,0,0.226264737,0,0,0,0,0,0.050594333,0,0,0,0,0,0,0,0,0.087631956,0,0
22,FC.5,French,Floodplain,0,0.078509502,0,0,0,0,0,0,0.260386562,0,0,0,0,0,0,0.06410274,0,0.192308221,0,0,0,0,0,0.31403801,0,0,0,0,0,0,0,0,0.045327482,0,0,0,0,0,0.045327482,0,0
23,FC.6,French,Riparian Terrace,0.02884504,0.096749206,0,0,0,0,0,0,0.232556148,0,0,0.035327815,0,0,0,0.024980537,0,0.133748948,0,0.024980537,0.02884504,0,0,0.22389772,0.024980537,0,0,0,0,0,0.020396523,0,0,0,0,0,0,0.035327815,0.074941612,0,0.01442252
24,GC.1,Gov Canyon,Active Channel,0,0.133071356,0,0,0.039240602,0,0,0,0.221978367,0.027747296,0,0,0,0,0.027747296,0,0.039240602,0.100044298,0.027747296,0,0,0,0,0.055494592,0,0,0,0,0,0,0,0,0,0,0,0.100044298,0.048059726,0.055494592,0.124089679,0,0
25,GC.2,Gov Canyon,Island-midbar/island,0,0.251629533,0,0,0,0,0,0,0.251629533,0,0,0,0,0,0,0,0.112532148,0,0,0,0,0,0,0,0,0,0,0,0.112532148,0,0,0,0,0,0,0,0,0.112532148,0.15914449,0,0
26,GC.3,Gov Canyon,Active Channel Shelf,0,0.151653896,0,0,0,0,0.04572537,0,0.199312268,0,0,0,0,0,0,0,0.04572537,0.129330877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04572537,0.064665439,0.129330877,0.188530531,0,0
27,GC.4,Gov Canyon,Floodplain,0,0.183151507,0,0,0.055222257,0,0,0,0.146104359,0.055222257,0,0,0,0,0,0,0,0.095647755,0,0.055222257,0,0,0,0.055222257,0,0,0,0,0,0,0,0,0,0,0,0,0.078096065,0.110444514,0.165666771,0,0
28,GC.5,Gov Canyon,Riparian Terrace,0.054083558,0.132477121,0,0,0.04415904,0.031225157,0,0,0.159217684,0.04415904,0,0,0,0,0,0,0.031225157,0.120934513,0,0.031225157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04415904,0.136107303,0.171027228,0,0
29,GCT.1,Gov Canyon Trib,Active Channel,0,0.129416362,0,0,0,0,0,0,0.148265069,0,0,0,0,0,0,0,0,0.104839236,0.022877797,0.056038929,0.039625507,0,0,0.112077858,0,0,0,0,0,0,0,0,0,0.022877797,0,0,0.032354091,0.208426649,0.123200707,0,0
30,GCT.2,Gov Canyon Trib,Island-midbar/island,0,0.175208847,0,0,0,0,0,0,0.114701115,0,0,0,0,0,0,0,0,0.06622272,0.06622272,0,0.06622272,0,0,0.093653068,0,0,0,0,0,0,0,0,0,0.093653068,0,0,0,0.209414627,0.114701115,0,0
31,GCT.3,Gov Canyon Trib,Active Channel Shelf,0,0.139083247,0,0,0,0,0,0,0.174766685,0,0,0,0,0,0.031907885,0,0,0.119388375,0,0.0713482,0,0,0,0.105826483,0,0,0,0,0,0,0,0,0,0.045124564,0,0,0,0.211652967,0.100901593,0,0
32,GCT.4,Gov Canyon Trib,Floodplain,0.040196875,0.117193021,0,0,0,0,0,0,0.123895088,0.028423483,0,0,0,0,0,0,0,0.102482324,0,0.040196875,0.040196875,0,0,0.080393749,0,0,0,0,0,0,0,0,0,0.049230916,0,0,0.028423483,0.198964379,0.150402933,0,0
33,GCT.5,Gov Canyon Trib,Riparian Terrace,0.039446697,0.167358162,0,0,0,0.039446697,0,0,0.068323683,0,0,0,0,0,0,0,0,0.088205496,0,0.078893394,0,0,0,0.09662428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185021409,0.236680182,0,0
34,HC.1,Huesta,Active Channel,0,0.111819099,0,0,0,0,0,0,0.302807551,0.028871567,0.040830562,0,0,0,0.064558787,0,0.028871567,0.104097916,0,0.028871567,0,0,0,0.111819099,0,0,0,0,0,0.050007021,0,0,0,0,0.057743134,0,0,0.040830562,0.028871567,0,0
35,HC.2,Huesta,Island-midbar/island,0,0.140864523,0,0,0,0,0,0,0.718270953,0,0,0,0,0,0.140864523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,HC.3,Huesta,Secondary Active Channel,0,0.353542522,0,0,0,0,0,0,0.23835832,0,0.150751038,0,0,0,0.106597081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150751038,0,0,0
37,HC.4,Huesta,Active Channel Shelf,0,0.113211434,0,0,0,0,0,0,0.242255205,0.044985662,0.077917453,0,0,0,0.036730639,0,0,0.100590999,0,0,0,0.036730639,0.036730639,0.121821749,0,0,0.036730639,0,0,0,0,0,0,0,0,0,0.036730639,0.063619334,0.051944968,0,0
38,HC.5,Huesta,Floodplain,0,0.166038606,0,0,0,0.055346202,0,0,0.244402211,0,0.07827135,0,0,0,0.039135675,0,0,0.039135675,0,0,0,0.039135675,0,0,0,0,0,0,0,0.039135675,0,0,0.039135675,0,0.039135675,0,0.055346202,0.07827135,0.087510029,0,0
39,HC.6,Huesta,Riparian Terrace,0.046295097,0.130395573,0.044725313,0,0,0,0,0,0.168622648,0.016904579,0.090245758,0,0,0,0.039644752,0,0.016904579,0.112132293,0.016904579,0.026728487,0.016904579,0,0.020703797,0.103518984,0,0,0,0,0,0,0,0,0.041407593,0,0.011953343,0,0.011953343,0.026728487,0.057326217,0,0
40,LC.1,Leon,Active Channel,0,0,0,0.120317851,0,0,0,0,0.251662841,0,0,0,0,0,0,0,0,0.120317851,0,0.095119613,0,0.042538784,0,0.095119613,0,0.060158925,0,0,0,0,0,0.073679335,0,0,0,0,0,0,0,0.141085186,0
41,LC.2,Leon,Island-midbar/island,0,0.070560449,0,0.099787545,0,0,0.122214283,0,0.223131733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070560449,0,0,0,0.099787545,0,0,0.070560449,0.172837097,0.070560449
42,LC.3,Leon,Secondary Active Channel,0,0.146446609,0,0,0,0,0,0,0.439339828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207106781,0,0,0,0,0,0,0,0,0,0.207106781,0
43,LC.4,Leon,Active Channel Shelf,0,0.070506594,0,0,0,0,0,0.099711382,0.290706136,0,0,0,0,0,0,0,0,0.141013189,0,0,0,0.141013189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070506594,0.186542915,0
44,LC.5,Leon,Floodplain,0,0.066870636,0,0.042292703,0,0,0,0,0.179432745,0,0,0,0,0.059810915,0,0,0.029905457,0.059810915,0,0.12330336,0,0.084585407,0,0.059810915,0,0.079122403,0,0,0,0.029905457,0,0,0,0,0,0,0,0,0.073253111,0.111895976,0
45,LC.6,Leon,Riparian Terrace,0.025460745,0.068948023,0,0,0.025460745,0.014699768,0,0,0.182419322,0.014699768,0,0,0,0,0,0,0.041577222,0.103943056,0,0.025460745,0,0.068948023,0,0.118513318,0.025460745,0.025460745,0,0,0,0.044099304,0,0,0,0,0,0,0.014699768,0,0.111950097,0.073498839,0.014699768
